communities,site,coral_sp_1,coral_sp_2,coral_sp_3,coral_sp_4,coral_sp_5,coral_sp_6,coral_sp_7,coral_sp_8,coral_sp_9,coral_sp_10,coral_sp_11,coral_sp_12,algae_fg_1,algae_fg_2,algae_fg_3,algae_fg_4,algae_fg_5,algae_fg_6,substrate
1,FB,Porites_astreoides,Meandrina_meandrites,Agaricia_agaricites,Siderastrea_siderea,Porites_porites,Madracis_mirabilis,Madracis_decactis,Colpophyllia_natans,Dichocoenia_stokesii,Porites_furcata,Agaricia_humilis,Orbicella_faveolata,Macroalgae,Turf,CCA,AMA,ACA,Halimeda,sand
alive,FB,2.983333333,2.116666667,7.033333333,1.85,1.733333333,0.733333333,0.45,0.25,0,0,0,0,0.35,46.98333333,11.76666667,6.35,0.683333333,999,2.45
bleached,FB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dead,FB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,PB,Orbicella_annularis,Orbicella_faveolata,Orbicella_franksi,Madracis_mirabilis,Porites_astreoides,Colpophyllia_natans,Porites_porites,Madracis_decactis,Pseudodiploria_strigosa,Siderastrea_siderea,Agaricia_agaricites,Diploria_labyrinthiformis,Macroalgae,Turf,CCA,AMA,ACA,Halimeda,sand
alive,PB,8.166666667,8.333333333,4.25,2.75,1.833333333,1.25,0.416666667,0.166666667,0.333333333,0.25,0,0.583333333,0.666666667,35.08333333,3.083333333,10.25,0,3.5,13.5
bleached,PB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dead,PB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,IR,Porites_astreoides,Orbicella_faveolata,Orbicella_annularis,Siderastrea_siderea,Colpophyllia_natans,Porites_porites,Agaricia_agaricites,Montastraea_cavernosa,Pseudodiploria_strigosa,Orbicella_franksi,Siderastrea_radians,Helioseris_cucullata,Macroalgae,Turf,CCA,AMA,ACA,Halimeda,sand
alive,IR,14.75,8.6,2.316666667,0.166666667,0.633333333,1.416666667,0.45,0.333333333,0.083333333,1.033333333,0,0,8.4,24.91666667,0.35,3.366666667,4.7,5.4,0
bleached,IR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dead,IR,1.483333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,growth_saturation,Acropora_pulchra,Acropora_polystoma,Acropora_gemmifera,Siderastrea_siderea,Porites_porites,Madracis_mirabilis,Madracis_decactis,Colpophyllia_natans,Dichocoenia_stokesii,Porites_furcata,Agaricia_humilis,Orbicella_faveolata,Macroalgae,Turf,CCA,AMA,ACA,Halimeda,sand
alive,growth_saturation,30,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
bleached,growth_saturation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dead,growth_saturation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,growth_saturation,Acropora_pulchra,Acropora_polystoma,Acropora_gemmifera,Siderastrea_siderea,Porites_porites,Madracis_mirabilis,Madracis_decactis,Colpophyllia_natans,Dichocoenia_stokesii,Porites_furcata,Agaricia_humilis,Orbicella_faveolata,Macroalgae,Turf,CCA,AMA,ACA,Halimeda,sand
alive,growth_saturation,999,30,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
bleached,growth_saturation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dead,growth_saturation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,growth_saturation,Acropora_pulchra,Acropora_polystoma,Acropora_gemmifera,Siderastrea_siderea,Porites_porites,Madracis_mirabilis,Madracis_decactis,Colpophyllia_natans,Dichocoenia_stokesii,Porites_furcata,Agaricia_humilis,Orbicella_faveolata,Macroalgae,Turf,CCA,AMA,ACA,Halimeda,sand
alive,growth_saturation,999,999,30,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
bleached,growth_saturation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dead,growth_saturation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,reproduction_saturation,Acropora_pulchra,Acropora_polystoma,Acropora_gemmifera,Siderastrea_siderea,Porites_porites,Madracis_mirabilis,Madracis_decactis,Colpophyllia_natans,Dichocoenia_stokesii,Porites_furcata,Agaricia_humilis,Orbicella_faveolata,Macroalgae,Turf,CCA,AMA,ACA,Halimeda,sand
alive,reproduction_saturation,999,999,10,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
bleached,reproduction_saturation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dead,reproduction_saturation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,competition_disturbance_connectivity_grazing,Acropora_florida,Acropora_pulchra,Acropora_valenciennesi,Diploastrea_heliopora,Orbicella_annularis,Porites_lobata,Madracis_decactis,Porites_porites,Seriatopora_hystrix,Porites_furcata,Agaricia_humilis,Orbicella_faveolata,Macroalgae,Turf,CCA,AMA,ACA,Halimeda,sand
alive,competition_disturbance_connectivity_grazing,7,7,7,7,7,7,7,7,7,999,999,999,7,7,7,999,999,999,999
bleached,competition_disturbance_connectivity_grazing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dead,competition_disturbance_connectivity_grazing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,reproduction_saturation,Acropora_pulchra,Acropora_polystoma,Acropora_gemmifera,Siderastrea_siderea,Porites_porites,Madracis_mirabilis,Madracis_decactis,Colpophyllia_natans,Dichocoenia_stokesii,Porites_furcata,Agaricia_humilis,Orbicella_faveolata,Macroalgae,Turf,CCA,AMA,ACA,Halimeda,sand
alive,reproduction_saturation,10,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
bleached,reproduction_saturation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dead,reproduction_saturation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,reproduction_saturation,Acropora_pulchra,Acropora_polystoma,Acropora_gemmifera,Siderastrea_siderea,Porites_porites,Madracis_mirabilis,Madracis_decactis,Colpophyllia_natans,Dichocoenia_stokesii,Porites_furcata,Agaricia_humilis,Orbicella_faveolata,Macroalgae,Turf,CCA,AMA,ACA,Halimeda,sand
alive,reproduction_saturation,999,10,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
bleached,reproduction_saturation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dead,reproduction_saturation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,competition_disturbance_connectivity_grazing,Acropora_florida,Acropora_hyacinthus,Acropora_pulchra,Diploastrea_heliopora,Orbicella_annularis,Porites_lobata,Madracis_decactis,Porites_porites,Seriatopora_hystrix,Porites_furcata,Agaricia_humilis,Orbicella_faveolata,Macroalgae,Turf,CCA,AMA,ACA,Halimeda,sand
alive,competition_disturbance_connectivity_grazing,7,7,7,7,7,7,7,7,7,999,999,999,7,7,7,999,999,999,999
bleached,competition_disturbance_connectivity_grazing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dead,competition_disturbance_connectivity_grazing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,reproduction_saturation,Agaricia_tenuifolia,Acropora_polystoma,Acropora_gemmifera,Siderastrea_siderea,Porites_porites,Madracis_mirabilis,Madracis_decactis,Colpophyllia_natans,Dichocoenia_stokesii,Porites_furcata,Agaricia_humilis,Orbicella_faveolata,Macroalgae,Turf,CCA,AMA,ACA,Halimeda,sand
alive,reproduction_saturation,10,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
bleached,reproduction_saturation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dead,reproduction_saturation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,reproduction_saturation,Echinophyllia_orpheensis,Acropora_polystoma,Acropora_gemmifera,Siderastrea_siderea,Porites_porites,Madracis_mirabilis,Madracis_decactis,Colpophyllia_natans,Dichocoenia_stokesii,Porites_furcata,Agaricia_humilis,Orbicella_faveolata,Macroalgae,Turf,CCA,AMA,ACA,Halimeda,sand
alive,reproduction_saturation,10,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
bleached,reproduction_saturation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dead,reproduction_saturation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,disturbance,Acropora_florida,Acropora_hyacinthus,Acropora_pulchra,Diploastrea_heliopora,Orbicella_annularis,Porites_lobata,Madracis_decactis,Porites_porites,Seriatopora_hystrix,Porites_furcata,Agaricia_humilis,Orbicella_faveolata,Macroalgae,Turf,CCA,AMA,ACA,Halimeda,sand
alive,disturbance,30,999,999,999,999,999,999,999,999,999,999,999,10,10,10,999,999,999,999
bleached,disturbance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dead,disturbance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,disturbance,Acropora_florida,Acropora_hyacinthus,Acropora_pulchra,Diploastrea_heliopora,Orbicella_annularis,Porites_lobata,Madracis_decactis,Porites_porites,Seriatopora_hystrix,Porites_furcata,Agaricia_humilis,Orbicella_faveolata,Macroalgae,Turf,CCA,AMA,ACA,Halimeda,sand
alive,disturbance,999,999,999,999,999,30,999,999,999,999,999,999,10,10,10,999,999,999,999
bleached,disturbance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dead,disturbance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,disturbance,Acropora_florida,Acropora_hyacinthus,Acropora_pulchra,Diploastrea_heliopora,Orbicella_annularis,Porites_lobata,Madracis_decactis,Porites_porites,Seriatopora_hystrix,Porites_furcata,Agaricia_humilis,Orbicella_faveolata,Macroalgae,Turf,CCA,AMA,ACA,Halimeda,sand
alive,disturbance,999,999,999,999,999,999,30,999,999,999,999,999,10,10,10,999,999,999,999
bleached,disturbance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dead,disturbance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,disturbance,Acropora_palmata,Madracis_pharensis,Acropora_pulchra,Diploastrea_heliopora,Orbicella_annularis,Porites_lobata,Madracis_decactis,Porites_porites,Seriatopora_hystrix,Porites_furcata,Agaricia_humilis,Orbicella_faveolata,Macroalgae,Turf,CCA,AMA,ACA,Halimeda,sand
alive,disturbance,10,10,999,999,10,999,999,999,999,999,999,999,10,10,10,999,999,999,999
bleached,disturbance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dead,disturbance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,disturbance,Galaxea_fascicularis,Acropora_hyacinthus,Fungia_fungites,Diploastrea_heliopora,Orbicella_annularis,Porites_lobata,Madracis_decactis,Porites_porites,Seriatopora_hystrix,Porites_furcata,Agaricia_humilis,Orbicella_faveolata,Macroalgae,Turf,CCA,AMA,ACA,Halimeda,sand
alive,disturbance,10,10,10,999,999,999,999,999,10,999,999,999,10,10,10,999,999,999,999
bleached,disturbance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dead,disturbance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,disturbance,Acropora_grandis,Pavona_clavus,Plerogyra_sinuosa,Cyphastrea_ocellina,Orbicella_annularis,Porites_lobata,Madracis_decactis,Porites_porites,Seriatopora_hystrix,Porites_furcata,Agaricia_humilis,Orbicella_faveolata,Macroalgae,Turf,CCA,AMA,ACA,Halimeda,sand
alive,disturbance,10,10,10,10,999,999,999,999,999,999,999,999,10,10,10,999,999,999,999
bleached,disturbance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dead,disturbance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,disturbance,Pocillopora_elegans,Porites_lutea,Pocillopora_damicornis,Diploastrea_heliopora,Orbicella_annularis,Porites_lobata,Madracis_decactis,Porites_porites,Seriatopora_hystrix,Porites_furcata,Agaricia_humilis,Orbicella_faveolata,Macroalgae,Turf,CCA,AMA,ACA,Halimeda,sand
alive,disturbance,10,10,10,999,999,999,999,999,999,999,999,999,10,10,10,999,999,999,999
bleached,disturbance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dead,disturbance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,experiment,Alveopora_japonica,Pavona_cactus,Acropora_nana,Cynarina_macassarensis,Seriatopora_caliendrum,Acropora_florida,Pavona_varians,Madracis_carmabi,Cantharellus_noumeae,Turbinaria_reniformis,Turbinaria_stellulata,Zoopilus_echinatus,Macroalgae,Turf,CCA,AMA,ACA,Halimeda,sand
alive,experiment,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,999,999,999,7.5,7.5,7.5,999,999,999,999
bleached,experiment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dead,experiment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,experiment,Favia_fragum,Pavona_clavus,Acropora_elseyi,Cycloseris_distorta,Isopora_palifera,Coeloseris_mayeri,Galaxea_cryptoramosa,Porites_decasepta,Acropora_abrolhosensis,Turbinaria_reniformis,Turbinaria_stellulata,Zoopilus_echinatus,Macroalgae,Turf,CCA,AMA,ACA,Halimeda,sand
alive,experiment,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,999,999,999,7.5,7.5,7.5,999,999,999,999
bleached,experiment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dead,experiment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,experiment,Alveopora_minuta,Pavona_xarifae,Diploastrea_heliopora,Acropora_lokani,Pachyseris_speciosa,Isopora_brueggemanni,Balanophyllia_europaea,Cantharellus_doederleini,Acropora_teres,Turbinaria_reniformis,Turbinaria_stellulata,Zoopilus_echinatus,Macroalgae,Turf,CCA,AMA,ACA,Halimeda,sand
alive,experiment,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,999,999,999,7.5,7.5,7.5,999,999,999,999
bleached,experiment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dead,experiment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,experiment,Isophyllia_sinuosa,Alveopora_allingi,Acropora_lianae,Homophyllia_australis,Isopora_elizabethensis,Acropora_muricata,Orbicella_franksi,Madracis_asanoi,Lithophyllon_spinifer,Turbinaria_reniformis,Turbinaria_stellulata,Zoopilus_echinatus,Macroalgae,Turf,CCA,AMA,ACA,Halimeda,sand
alive,experiment,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,999,999,999,7.5,7.5,7.5,999,999,999,999
bleached,experiment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dead,experiment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,experiment,Porites_brighami,Pavona_frondifera,Acropora_walindii,Isopora_togianensis,Agaricia_fragilis,Turbinaria_reniformis,Porites_porites,Cycloseris_curvata,Acropora_rufa,Turbinaria_radicalis,Turbinaria_stellulata,Zoopilus_echinatus,Macroalgae,Turf,CCA,AMA,ACA,Halimeda,sand
alive,experiment,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,999,999,999,7.5,7.5,7.5,999,999,999,999
bleached,experiment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dead,experiment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,experiment,Porites_stephensoni,Alveopora_gigas,Anacropora_forbesi,Stylophora_subseriata,Mycetophyllia_lamarckiana,Merulina_triangularis,Orbicella_faveolata,Madracis_mirabilis,Pleuractis_granulosa,Turbinaria_reniformis,Turbinaria_stellulata,Zoopilus_echinatus,Macroalgae,Turf,CCA,AMA,ACA,Halimeda,sand
alive,experiment,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,999,999,999,7.5,7.5,7.5,999,999,999,999
bleached,experiment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dead,experiment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,experiment,Manicina_areolata,Acropora_monticulosa,Acropora_rudis,Cycloseris_fragilis,Porites_rugosus,Pavona_venosa,Porites_sverdrupi,Ctenactis_echinata,Acropora_insignis,Turbinaria_reniformis,Turbinaria_stellulata,Zoopilus_echinatus,Macroalgae,Turf,CCA,AMA,ACA,Halimeda,sand
alive,experiment,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,999,999,999,7.5,7.5,7.5,999,999,999,999
bleached,experiment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dead,experiment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,experiment,Porites_murrayensis,Porites_cylindrica,Acropora_pectinata,Cycloseris_hexagonalis,Scolymia_wellsii,Acropora_ridzwani,Leptoseris_incrustans,Palauastrea_ramosa,Danafungia_horrida,Turbinaria_reniformis,Turbinaria_stellulata,Zoopilus_echinatus,Macroalgae,Turf,CCA,AMA,ACA,Halimeda,sand
alive,experiment,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,999,999,999,7.5,7.5,7.5,999,999,999,999
