"species1","species2","prob.species1.wins"
"Blastomussa_omanensis","Coscinaraea_columna",0.5588
"Blastomussa_omanensis","Dipsastraea_amicorum",0.4452
"Blastomussa_omanensis","Gardineroseris_planulata",0.7914
"Blastomussa_omanensis","Heterocyathus_aequicostatus",0.4999
"Blastomussa_omanensis","Paragoniastrea_deformis",0.2525
"Blastomussa_omanensis","Platygyra_acuta",0.6368
"Blastomussa_omanensis","Platygyra_verweyi",0.6368
"Blastomussa_omanensis","Podabacia_crustacea",0.7819
"Coscinaraea_columna","Dipsastraea_amicorum",0.2029
"Coscinaraea_columna","Gardineroseris_planulata",0.5462
"Coscinaraea_columna","Heterocyathus_aequicostatus",0.2407
"Coscinaraea_columna","Paragoniastrea_deformis",0.0968
"Coscinaraea_columna","Platygyra_acuta",0.3574
"Coscinaraea_columna","Platygyra_verweyi",0.3574
"Coscinaraea_columna","Podabacia_crustacea",0.5322
"Dipsastraea_amicorum","Gardineroseris_planulata",0.6551
"Dipsastraea_amicorum","Heterocyathus_aequicostatus",0.3335
"Dipsastraea_amicorum","Paragoniastrea_deformis",0.1447
"Dipsastraea_amicorum","Platygyra_acuta",0.4675
"Dipsastraea_amicorum","Platygyra_verweyi",0.4675
"Dipsastraea_amicorum","Podabacia_crustacea",0.6423
"Gardineroseris_planulata","Heterocyathus_aequicostatus",0.0957
"Gardineroseris_planulata","Paragoniastrea_deformis",0.0345
"Gardineroseris_planulata","Platygyra_acuta",0.1566
"Gardineroseris_planulata","Platygyra_verweyi",0.1566
"Gardineroseris_planulata","Podabacia_crustacea",0.2752
"Heterocyathus_aequicostatus","Paragoniastrea_deformis",0.1196
"Heterocyathus_aequicostatus","Platygyra_acuta",0.4135
"Heterocyathus_aequicostatus","Platygyra_verweyi",0.4135
"Heterocyathus_aequicostatus","Podabacia_crustacea",0.5905
"Paragoniastrea_deformis","Platygyra_acuta",0.6759
"Paragoniastrea_deformis","Platygyra_verweyi",0.6759
"Paragoniastrea_deformis","Podabacia_crustacea",0.8101
"Platygyra_acuta","Platygyra_verweyi",0.2866
"Platygyra_acuta","Podabacia_crustacea",0.4511
"Platygyra_verweyi","Podabacia_crustacea",0.4511
