"substrate_category","substrate_subcategory","species","aggressiveness","coloniality","colony_max_diameter","corallite_area","egg_diameter","fecundity_polyp","growth_form","growth_rate","mode_larval_development","reduced_scattering_coefficient","size_maturity","age_maturity","red","green","blue","bleaching_probability","sexual_system","correction_coeff_polypFecundity"
"BarrenGround","BarrenGround","BarrenGround","0","None","0","0","0","0","None",1,"None","0",0,"0","160","160","160","0","None","0"
"Algae","Macroalgae","Macroalgae","0","None","1e+05","0","0","0","None",31,"None","0",0,"0","20","160","20","0","None","0"
"Algae","AMA","AMA","0","None","1e+05","0","0","0","None",31,"None","0",0,"0","14","125","14","0","None","0"
"Algae","Halimeda","Halimeda","0","None","1e+05","0","0","0","None",31,"None","0",0,"0","35","243","32","0","None","0"
"Algae","Turf","Turf","0","None","1e+05","0","0","0","None",51,"None","0",0,"0","178","255","102","0","None","0"
"Algae","ACA","ACA","0","None","1e+05","0","0","0","None",5.2,"None","0",0,"0","243","78","144","0","None","0"
"Algae","CCA","CCA","0","None","1e+05","0","0","0","None",3.3,"None","0",0,"0","229","192","69","0","None","0"
"Coral","BleachedCoral",NA,"0",NA,"0","0","0","0",NA,1,NA,"0",0,"0","245","245","245","0",NA,"0"
"Coral","DeadCoral",NA,"0",NA,"0","0","0","0",NA,1,NA,"0",0,"0","255","255","255","0",NA,"0"
"Coral","LiveCoral","Acanthastrea_brevis","40.796","colonial","150.305","2.11565668152437","0.479690511664004","1249.97203749476","massive",1.7,"spawner","10.1309",35,"3","26","187","112","0.28283886173009","hermaphrodite","0"
"Coral","LiveCoral","Acanthastrea_echinata","44.6","colonial","169.9389","0.942109378888458","0.475470511664004","1251.99052383761","massive",1.6,"spawner","10.141",35,"3","200","120","247","0.288442554264824","hermaphrodite","0"
"Coral","LiveCoral","Acanthastrea_hemprichi","40.7019999999999","colonial","150.91","1.70690713750861","0.478050511664004","1251.68376530103","massive",1.7,"spawner","10.1825",35,"3","107","89","237","0.282288404781095","hermaphrodite","0"
"Coral","LiveCoral","Acanthastrea_minuta","32.082","colonial","154.2501","0.15552847130678","0.468414309363304","1163.81149934624","massive",1.5,"spawner","11.6387",35,"3","255","72","102","0.246686136034447","hermaphrodite","0"
"Coral","LiveCoral","Acanthastrea_pachysepta","44.742","colonial","50","4.28216750142965","0.485065297217784","1284.43427456793","massive",1.5,"spawner","7.9948",35,"3","75","13","32","0.216228748263897","hermaphrodite","0"
"Coral","LiveCoral","Acanthastrea_rotundoflora","40.1379999999999","colonial","180.989","1.08915267023728","0.486831928410923","1223.84253993448","encrusting",2,"spawner","9.9412",35,"3","57","128","145","0.308964511381822","hermaphrodite","0"
"Coral","LiveCoral","Acanthastrea_subechinata","41.128","colonial","150.42","1.28679635091038","0.478050511664004","1251.68376530103","massive",1.7,"spawner","10.1825",35,"3","161","180","205","0.281418387186934","hermaphrodite","0"
