year,Porites_astreoides,Orbicella_faveolata,Orbicella_annularis,Siderastrea_siderea,Colpophyllia_natans,Porites_porites,Agaricia_agaricites,Montastraea_cavernosa,Pseudodiploria_strigosa,Orbicella_franksi,Siderastrea_radians,Helioseris_cucullata,Macroalgae,Turf,CCA,AMA,ACA,Halimeda,sand,event
0.0,14.4725,9.8025,2.45,0.3725,0.635,1.7575,0.7875,4.3525,4.61,3.6799999999999997,0.0,0.0,8.67,24.9975,0.4675,3.9125,4.984999999999999,5.685,0.0,initial_count
0.1,14.4725,9.8025,2.45,0.3725,0.635,0.13,0.7875,4.3525,4.61,3.6799999999999997,0.0,0.0,6.550000000000001,18.605,0.4675,3.245,4.2700000000000005,5.24,0.0,cyclone
0.5,16.4775,9.9025,2.5175,0.38,0.66,0.16999999999999998,0.8475,4.4174999999999995,4.63,3.7600000000000002,0.0,0.0,7.165000000000001,22.925,0.25,3.8774999999999995,4.2924999999999995,6.0225,0.25,end_season
0.6,16.4775,9.9025,2.5175,0.38,0.66,0.16999999999999998,0.8475,4.4174999999999995,4.63,3.7600000000000002,0.0,0.0,4.5275,15.09,0.245,3.2575,3.0700000000000003,5.0825000000000005,0.25,cyclone
0.7,17.3925,4.387499999999999,0.6675,0.0025,0.3775,0.17500000000000002,0.3875,4.4325,4.6675,0.005,0.0,0.0,4.5275,15.09,0.22,3.2575,3.0700000000000003,5.0825000000000005,0.25,bleaching
1.0,16.57,4.475,0.7425,0.0125,0.38999999999999996,0.295,0.36,4.4925,4.6475,0.025,0.0,0.0,5.665,21.1225,0.43,4.0,3.3225,5.8975,0.1225,end_season
1.1,16.57,9.934999999999999,2.6575,0.385,0.675,0.295,0.36,4.4925,4.6475,3.61,0.0,0.0,4.8425,16.4875,0.4275,3.8025,2.81,5.2925,0.1225,cyclone
1.5,14.615,8.870000000000001,2.1825,0.295,0.6975,0.24,0.24,4.2425,4.2675,3.0675,0.0,0.0,7.9525,26.5025,0.6025,6.22,3.3674999999999997,7.04,0.3025,end_season
1.6,14.615,8.870000000000001,2.1825,0.295,0.6975,0.24,0.24,4.2425,4.2675,3.0675,0.0,0.0,7.3625,24.065,0.6025,6.0249999999999995,3.065,6.8725,0.3025,cyclone
1.7000000000000002,6.825,4.8925,0.0925,0.02,0.0,0.08499999999999999,0.0375,4.21,0.025,0.0025,0.0,0.0,7.3625,24.065,0.5725,6.0249999999999995,3.065,6.8725,0.3025,bleaching
2.0,4.1825,3.84,0.06,0.0025,0.0,0.0525,0.025,3.36,0.03,0.0,0.0,0.0,10.915,40.755,0.5225,10.0625,3.46,9.005,1.13,end_season
2.1,5.595,6.4975000000000005,1.1125,0.042499999999999996,0.11249999999999999,0.1275,0.025,3.36,0.03,2.5100000000000002,0.0,0.0,5.79,16.8325,0.5025,7.327500000000001,1.9324999999999999,5.9775,1.13,cyclone
2.5,5.6875,5.7775,0.7250000000000001,0.017499999999999998,0.0675,0.24,0.015,3.0775,0.015,2.105,0.0,0.0,6.944999999999999,19.9475,0.2275,8.4525,2.04,6.29,0.77,end_season
2.6,5.6875,5.7775,0.7250000000000001,0.017499999999999998,0.0675,0.24,0.015,3.0775,0.015,2.105,0.0,0.0,3.3274999999999997,7.8875,0.21749999999999997,6.140000000000001,1.1275,4.5625,0.77,cyclone
2.7,6.0475,5.8999999999999995,0.79,0.017499999999999998,0.0675,0.2625,0.02,3.1075,0.015,2.105,0.0,0.0,3.3274999999999997,7.8875,0.215,6.140000000000001,1.1275,4.5625,0.77,bleaching
3.0,4.6475,4.9075,0.6325,0.02,0.0625,0.5825,0.005,2.85,0.015,1.915,0.0,0.0,5.6875,16.88,0.40249999999999997,9.432500000000001,1.5125,7.1499999999999995,0.1475,end_season
3.1,4.8475,4.9075,0.6325,0.02,0.0625,0.5825,0.005,2.85,0.015,1.915,0.0,0.0,3.4275,7.2725,0.38999999999999996,6.935,0.7625,5.427499999999999,0.1475,cyclone
3.5,4.0775,3.8249999999999997,0.48250000000000004,0.017499999999999998,0.02,0.7425,0.0,2.2175000000000002,0.017499999999999998,1.4449999999999998,0.0,0.0,6.3,20.6875,0.5075,11.1775,1.125,7.470000000000001,0.8375,end_season
3.6,4.0775,3.8249999999999997,0.48250000000000004,0.017499999999999998,0.02,0.5075,0.0,2.2175000000000002,0.017499999999999998,1.4449999999999998,0.0,0.0,1.9875,7.53,0.3975,4.36,0.345,2.86,0.8375,cyclone
3.7,4.5825,3.9175,0.49750000000000005,0.017499999999999998,0.02,0.5075,0.0,2.245,0.0375,1.4475,0.0,0.0,1.9875,7.53,0.395,4.36,0.345,2.86,0.8375,bleaching
4.0,2.8525,2.8975,0.4,0.0025,0.0025,0.6275000000000001,0.0,1.52,0.034999999999999996,0.905,0.0,0.0,6.1725,33.1475,0.6224999999999999,12.0675,0.7799999999999999,4.8175,0.6425000000000001,end_season
4.1,2.8525,2.8975,0.4,0.0025,0.0025,0.6275000000000001,0.0,1.52,0.034999999999999996,0.905,0.0,0.0,5.2425,26.9775,0.6224999999999999,11.2775,0.66,4.555,0.6425000000000001,cyclone
4.5,0.9650000000000001,1.3825,0.1,0.0025,0.0,0.44,0.0,0.46249999999999997,0.005,0.33249999999999996,0.0,0.0,7.19,50.287499999999994,0.4925,15.055,1.2175,7.602499999999999,0.675,end_season
4.6,0.9650000000000001,1.3825,0.1,0.0025,0.0,0.44,0.0,0.46249999999999997,0.005,0.33249999999999996,0.0,0.0,4.2700000000000005,25.919999999999998,0.47250000000000003,11.407499999999999,0.7575000000000001,5.9624999999999995,0.675,cyclone
