year,Porites_astreoides,Meandrina_meandrites,Agaricia_agaricites,Siderastrea_siderea,Porites_porites,Madracis_mirabilis,Madracis_decactis,Colpophyllia_natans,Dichocoenia_stokesii,Porites_furcata,Agaricia_humilis,Orbicella_faveolata,Macroalgae,Turf,CCA,AMA,ACA,Halimeda,sand,event
0.0,3.06,2.15,7.7,4.0425,2.2025,0.75,0.47250000000000003,3.1125,0.0,0.0,0.0,0.0,0.40249999999999997,47.010000000000005,11.98,6.4174999999999995,0.695,0.0,2.605,initial_count
0.1,3.06,2.15,7.7,4.0425,0.5375,0.75,0.47250000000000003,3.1125,0.0,0.0,0.0,0.0,0.2875,32.7675,11.7775,5.65,0.5125000000000001,0.0,2.605,cyclone
0.25,3.0825,2.0475,7.739999999999999,4.045,0.5625,0.795,0.545,3.145,0.0,0.0,0.0,0.0,1.1875,38.37,10.91,7.090000000000001,0.9125,0.0,0.0,end_season
0.35,3.0825,2.0475,7.739999999999999,4.045,0.5625,0.795,0.545,3.145,0.0,0.0,0.0,0.0,0.9625,26.169999999999998,10.72,5.935,0.765,0.0,0.0,cyclone
0.5,4.1625000000000005,1.9324999999999999,8.3025,4.045,1.4675,3.1574999999999998,1.5650000000000002,3.1399999999999997,0.0,0.0,0.0,0.0,1.4324999999999999,38.33,8.0925,7.117500000000001,0.8125,0.0,1.6775000000000002,end_season
0.6,4.1625000000000005,1.9324999999999999,8.3025,4.045,1.4675,3.1574999999999998,1.5650000000000002,3.1399999999999997,0.0,0.0,0.0,0.0,0.95,28.3125,7.9575000000000005,6.1075,0.6925,0.0,1.6775000000000002,cyclone
0.7,1.27,1.39,2.9899999999999998,4.215,1.23,2.8925,1.4324999999999999,3.175,0.0,0.0,0.0,0.0,0.95,28.3125,7.5200000000000005,6.1075,0.6925,0.0,1.6775000000000002,bleaching
0.75,1.5,1.2825,3.2849999999999997,4.2975,2.3725,5.2825,2.875,3.215,0.0,0.0,0.0,0.0,1.6525,38.41,5.447500000000001,7.22,0.975,0.0,1.6875,end_season
0.85,1.5,1.2825,3.2849999999999997,4.2975,2.3725,5.2825,2.875,3.215,0.0,0.0,0.0,0.0,1.3074999999999999,28.182499999999997,5.35,6.535,0.7625,0.0,1.6875,cyclone
0.95,1.15,1.23,2.4725,0.20500000000000002,1.875,3.8975000000000004,1.915,3.2125,0.0,0.0,0.0,0.0,1.3074999999999999,28.182499999999997,5.35,6.535,0.7625,0.0,1.6875,bleaching
1.0,0.7875,0.98,2.32,0.2225,2.535,5.220000000000001,2.8925,3.245,0.0,0.0,0.0,0.0,2.4475000000000002,37.845,3.7824999999999998,8.647499999999999,1.26,0.0,2.15,end_season
1.1,2.6975,1.4975,6.54,0.2225,2.535,5.285,3.0300000000000002,3.245,0.0,0.0,0.0,0.0,1.675,27.084999999999997,3.7125,7.8625,0.975,0.0,2.15,cyclone
1.25,2.2275,1.1775,5.715,0.0925,2.9875,5.88,3.6374999999999997,3.2024999999999997,0.0,0.0,0.0,0.0,2.785,36.945,2.535,9.985,1.3375,0.0,2.1399999999999997,end_season
1.35,2.23,1.1775,6.0525,4.015,3.2375000000000003,6.35,4.1325,3.2024999999999997,0.0,0.0,0.0,0.0,2.145,26.44,2.445,8.68,1.0574999999999999,0.0,2.1399999999999997,cyclone
1.5,2.2975,0.8750000000000001,5.1,3.8575,3.5675,6.775,4.175,2.9850000000000003,0.0,0.0,0.0,0.0,3.2875,37.745,1.7075,11.1475,1.3325,0.0,2.6374999999999997,end_season
1.6,2.2975,0.8750000000000001,5.1,3.8575,3.5675,6.775,4.175,2.9850000000000003,0.0,0.0,0.0,0.0,2.6825,26.882499999999997,1.7025,9.555,1.105,0.0,2.6374999999999997,cyclone
1.7000000000000002,2.355,0.6325,3.9774999999999996,3.855,2.7975,6.2125,3.39,0.21749999999999997,0.0,0.0,0.0,0.0,2.6825,26.882499999999997,1.6549999999999998,9.555,1.105,0.0,2.6374999999999997,bleaching
1.75,1.9949999999999999,0.385,3.4099999999999997,3.7975000000000003,3.1274999999999995,6.17,3.0700000000000003,0.2375,0.0,0.0,0.0,0.0,3.7150000000000003,39.045,1.1475000000000002,12.4125,1.465,0.0,2.6,end_season
1.85,1.9949999999999999,0.385,3.4099999999999997,3.7975000000000003,3.1274999999999995,5.949999999999999,3.0700000000000003,0.2375,0.0,0.0,0.0,0.0,2.9775,28.105000000000004,1.1375,11.065,1.1625,0.0,2.6,cyclone
1.9500000000000002,0.44999999999999996,0.33999999999999997,3.2275,3.7975000000000003,2.855,5.085,2.6775,0.11499999999999999,0.0,0.0,0.0,0.0,2.9775,28.105000000000004,1.1375,11.065,1.1625,0.0,2.6,bleaching
2.0,0.31,0.18,2.6825,3.595,2.9499999999999997,5.137499999999999,2.215,0.0925,0.0,0.0,0.0,0.0,4.4875,39.752500000000005,1.1025,14.6425,1.54,0.0,1.7975,end_season
2.1,0.31,0.21,2.7199999999999998,3.595,2.4975,4.9275,2.5125,2.305,0.0,0.0,0.0,0.0,0.1825,0.5349999999999999,0.935,1.6025,0.08750000000000001,0.0,1.7975,cyclone
2.25,0.185,0.20500000000000002,2.8025,3.6275000000000004,6.18,12.575,4.2250000000000005,2.46,0.0,0.0,0.0,0.0,0.2225,0.6174999999999999,0.835,1.6025,0.09749999999999999,0.0,1.83,end_season
2.35,1.2550000000000001,0.23500000000000001,2.875,3.6275000000000004,5.33,12.02,4.5225,2.5175,0.0,0.0,0.0,0.0,0.034999999999999996,0.0825,0.7175,0.525,0.02,0.0,1.83,cyclone
