year,Porites_astreoides,Meandrina_meandrites,Agaricia_agaricites,Siderastrea_siderea,Porites_porites,Madracis_mirabilis,Madracis_decactis,Colpophyllia_natans,Dichocoenia_stokesii,Porites_furcata,Agaricia_humilis,Orbicella_faveolata,Macroalgae,Turf,CCA,AMA,ACA,Halimeda,sand,event
0.0,6.4799999999999995,2.33,10.02,1.8599999999999999,2.13,0.9299999999999999,0.5,1.4500000000000002,0.0,0.0,0.0,0.0,2.35,47.14,12.72,6.5,0.75,0.0,2.46,initial_count
0.1,6.4799999999999995,2.33,10.02,1.8599999999999999,2.13,0.9299999999999999,0.5,1.4500000000000002,0.0,0.0,0.0,0.0,2.06,36.33,12.5,5.88,0.74,0.0,2.46,cyclone
0.5,7.33,2.25,10.82,1.9800000000000002,3.85,1.8800000000000001,1.0999999999999999,1.54,0.0,0.0,0.0,0.0,2.41,41.48,7.249999999999999,6.2700000000000005,0.86,0.0,1.6199999999999999,end_season
0.6,7.33,2.25,10.82,1.9800000000000002,3.85,1.8800000000000001,1.0999999999999999,1.54,0.0,0.0,0.0,0.0,2.1399999999999997,35.53,6.959999999999999,5.92,0.79,0.0,1.6199999999999999,cyclone
0.7,6.4799999999999995,2.25,4.52,2.01,2.12,1.6199999999999999,0.54,1.55,0.0,0.02,0.0,0.0,2.1399999999999997,35.53,6.39,5.92,0.79,0.0,1.6199999999999999,bleaching
1.0,5.79,1.91,4.22,1.78,2.6599999999999997,2.37,1.06,1.41,0.0,0.05,0.0,0.0,3.55,47.15,3.37,7.199999999999999,1.3599999999999999,0.0,2.17,end_season
1.1,6.81,1.91,9.49,1.78,3.62,2.62,1.34,1.41,0.0,0.05,0.0,0.0,3.1399999999999997,39.7,3.37,6.64,0.98,0.0,2.17,cyclone
1.5,4.99,1.13,6.1899999999999995,1.24,2.9899999999999998,3.2399999999999998,1.2,1.05,0.0,0.16999999999999998,0.0,0.0,6.41,50.38,1.3599999999999999,9.16,1.4000000000000001,0.0,2.74,end_season
1.6,4.99,1.13,6.1899999999999995,1.24,2.9899999999999998,3.2399999999999998,1.2,1.05,0.0,0.16999999999999998,0.0,0.0,5.11,40.75,1.3599999999999999,8.94,1.1900000000000002,0.0,2.74,cyclone
1.7000000000000002,4.25,1.13,6.18,1.26,2.5700000000000003,3.04,0.95,1.05,0.0,0.16999999999999998,0.0,0.0,5.11,40.75,1.3,8.94,1.1900000000000002,0.0,2.74,bleaching
2.0,2.5,0.36,3.5000000000000004,0.26,1.01,2.55,0.29,0.18,0.0,0.01,0.0,0.0,8.68,52.96999999999999,0.95,11.700000000000001,2.04,0.0,1.68,end_season
2.1,2.73,0.36,3.5000000000000004,0.26,1.04,2.55,0.3,0.18,0.0,0.01,0.0,0.0,3.1,10.11,0.84,6.370000000000001,0.8500000000000001,0.0,1.68,cyclone
2.5,2.5700000000000003,0.21,3.4799999999999995,0.32,3.1199999999999997,7.19,0.63,0.2,0.0,0.32,0.0,0.0,3.84,12.55,0.53,7.35,0.98,0.0,1.0699999999999998,end_season
2.6,2.5700000000000003,0.21,3.4799999999999995,0.32,3.1199999999999997,7.19,0.63,0.2,0.0,0.32,0.0,0.0,3.6999999999999997,10.11,0.53,6.87,0.83,0.0,1.0699999999999998,cyclone
2.7,0.66,0.08,0.41000000000000003,0.31,1.18,4.77,0.4,0.0,0.0,0.32,0.0,0.0,3.6999999999999997,10.11,0.51,6.87,0.83,0.0,1.0699999999999998,bleaching
3.0,0.37,0.0,0.21,0.19,0.76,4.14,0.38999999999999996,0.0,0.0,0.08,0.0,0.0,10.8,43.43,1.1400000000000001,21.709999999999997,1.77,0.0,1.69,end_season
3.1,1.3299999999999998,0.04,0.22999999999999998,0.19,1.31,4.77,0.38999999999999996,0.0,0.0,0.08,0.0,0.0,7.829999999999999,31.259999999999998,1.1400000000000001,19.830000000000002,1.21,0.0,1.69,cyclone
