year,Psammocora_contigua,Montipora_stilosa,Acropora_lokani,Acropora_bushyensis,Mycedium_steeni,Montipora_digitata,Platygyra_crosslandi,Acropora_abrotanoides,Physophyllia_ayleni,Turbinaria_reniformis,Turbinaria_stellulata,Zoopilus_echinatus,Macroalgae,Turf,CCA,AMA,ACA,Halimeda,sand,event
0.0,7.567500000000001,8.387500000000001,7.5249999999999995,7.725,7.6075,9.405,8.7,14.649999999999999,8.75,0.0,0.0,0.0,7.5249999999999995,7.664999999999999,4.4925,0.0,0.0,0.0,0.0,initial_count
0.1,7.567500000000001,8.387500000000001,6.485,7.725,7.6075,3.8150000000000004,8.7,13.157499999999999,8.75,0.0,0.0,0.0,1.5699999999999998,1.045,3.8575,0.0,0.0,0.0,0.0,cyclone
0.5,7.01,8.425,9.16,9.1475,7.3325000000000005,4.33,8.8575,18.93,9.0625,0.0,0.0,0.0,1.6775000000000002,1.54,2.005,0.0,0.0,0.0,0.0,end_season
0.6,7.01,8.425,7.555000000000001,9.1475,7.3325000000000005,4.0325,8.8575,4.335,9.0625,0.0,0.0,0.0,0.4925,0.26,1.82,0.0,0.0,0.0,0.0,cyclone
1.0,13.3,12.6275,13.835,12.145,8.9825,10.4425,9.285,6.987500000000001,9.325,0.0,0.0,0.0,0.5950000000000001,0.6275000000000001,0.2375,0.0,0.0,0.0,0.0,end_season
1.1,13.3,12.6275,12.9825,12.145,8.9825,7.545,9.285,6.525,9.325,0.0,0.0,0.0,0.22,0.1325,0.23249999999999998,0.0,0.0,0.0,0.0,cyclone
1.5,5.8025,8.045,19.2775,9.8025,7.4175,3.0,9.105,17.0575,9.0825,0.0,0.0,0.0,0.9199999999999999,1.6475,0.5075,0.0,0.0,0.0,0.0,end_season
1.6,5.8025,8.045,16.8225,9.8025,7.4175,1.8575000000000002,9.105,9.077499999999999,9.0825,0.0,0.0,0.0,0.2775,0.215,0.5,0.0,0.0,0.0,0.0,cyclone
2.0,6.6075,8.1975,27.88,8.497499999999999,7.2575,1.8075,9.215,16.375,8.86,0.0,0.0,0.0,0.705,1.32,0.31,0.0,0.0,0.0,0.0,end_season
2.1,6.6075,8.1975,18.224999999999998,8.497499999999999,7.2575,1.8075,9.215,10.93,8.86,0.0,0.0,0.0,0.1525,0.185,0.29750000000000004,0.0,0.0,0.0,0.0,cyclone
2.5,4.6725,6.5825,28.292499999999997,7.535,6.859999999999999,0.775,9.217500000000001,18.205,8.254999999999999,0.0,0.0,0.0,0.6275000000000001,1.725,0.3275,0.0,0.0,0.0,0.0,end_season
2.6,4.6725,6.5825,18.6125,7.535,6.859999999999999,0.775,9.217500000000001,15.86,8.254999999999999,0.0,0.0,0.0,0.19499999999999998,0.255,0.295,0.0,0.0,0.0,0.0,cyclone
3.0,5.029999999999999,6.5675,24.834999999999997,7.01,7.124999999999999,1.045,9.325,26.8325,7.5975,0.0,0.0,0.0,0.52,1.1400000000000001,0.2375,0.0,0.0,0.0,0.0,end_season
