"tick","run","random_seed","year","cover sp1","cover sp2","cover sp3","cover sp4","cover sp5","cover sp6","cover sp7","cover sp8","cover sp9","cover sp10","cover sp11","cover sp12","cover MA","cover Turf","cover CCA","cover AMA","cover ACA","cover Halimeda","cover sand","community number"
1.0,1,864592671,0.0,3.6350000000000002,2.4074999999999998,7.2325,3.4325,2.4025000000000003,0.7425,0.49500000000000005,0.6875,0.0,0.0,0.0,0.0,0.5275,47.495,11.9425,6.660000000000001,0.7250000000000001,0.0,2.4825,1.0
5.0,1,864592671,0.25,3.6525000000000003,2.32,7.28,3.4375000000000004,1.29,0.47250000000000003,0.5725,0.745,0.0,0.0,0.0,0.0,0.735,36.932500000000005,11.3825,6.4025,0.8775,0.0,0.0,1.0
9.0,1,864592671,0.5,4.8325,2.2375,7.967499999999999,3.3674999999999997,2.52,1.5824999999999998,1.6150000000000002,0.6575,0.0,0.0,0.0,0.0,0.97,37.495,8.905000000000001,6.59,0.6675,0.0,1.67,1.0
13.0,1,864592671,0.75,4.635,1.1825,5.91,3.19,3.6900000000000004,2.8275,3.1550000000000002,0.14250000000000002,0.03,0.0,0.0,0.0,1.3050000000000002,39.232499999999995,6.6875,6.6674999999999995,0.735,0.0,1.67,1.0
17.0,1,864592671,1.0,1.4525,1.035,3.73,2.785,3.515,2.67,3.785,0.045,0.042499999999999996,0.0,0.0,0.0,2.23,38.177499999999995,4.995,8.295,1.155,0.0,2.185,1.0
21.0,1,864592671,1.25,1.2975,1.2,3.3674999999999997,2.64,4.2125,3.6875,5.045,0.042499999999999996,0.042499999999999996,0.0,0.0,0.0,3.0575,37.480000000000004,3.4099999999999997,9.1275,1.3575,0.0,2.15,1.0
25.0,1,864592671,1.5,2.815,0.9075,4.09,1.9949999999999999,5.8275,5.6025,6.3875,0.0075,0.005,0.0,0.0,0.0,3.7125,37.0375,2.105,10.745000000000001,1.2225,0.0,2.6149999999999998,1.0
29.0,1,864592671,1.75,2.0025,0.585,2.7175000000000002,1.5775000000000001,5.4625,5.9025,5.327500000000001,0.0025,0.0,0.0,0.0,0.0,4.26,38.135000000000005,1.3225,12.3875,1.2850000000000001,0.0,2.6224999999999996,1.0
33.0,1,864592671,2.0,1.4475,0.415,1.8350000000000002,0.445,5.43,5.6225,4.8825,0.0,0.0,0.0,0.0,0.0,4.415,35.82,1.165,13.1775,1.425,0.0,1.7975,1.0
37.0,1,864592671,2.25,1.5775000000000001,0.455,1.9300000000000002,0.455,12.1975,10.9725,9.175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.825,1.0
41.0,1,864592671,2.5,1.9949999999999999,0.4325,2.2075,1.2349999999999999,18.1075,17.822499999999998,12.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1875,1.0
45.0,1,864592671,2.75,0.45999999999999996,0.0725,0.9950000000000001,0.8200000000000001,14.8225,12.9525,8.21,0.0,0.0,0.0,0.0,0.0,3.7975000000000003,3.6999999999999997,4.0575,3.665,4.3575,0.0,1.2275,1.0
49.0,1,864592671,3.0,0.2375,0.034999999999999996,0.5950000000000001,0.7849999999999999,8.9125,10.045,6.140000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7000000000000002,1.0
51.0,1,864592671,3.1,0.2375,0.034999999999999996,0.62,0.7849999999999999,8.2775,8.477500000000001,7.477499999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7000000000000002,1.0
